year,month,solar_photovoltaic,wind_power,grand_total
2026,1,1290527,60248,1350775
2025,12,1035481,51328,1086809
2025,11,1191525,61008,1252533
2025,10,1367689,61024,1428713
2025,9,1493245,38910,1532155
2025,8,1392862,51399,1444261
2025,7,1520552,36795,1557347
2025,6,1444162,37411,1481573
2025,5,1419691,61616,1481307
2025,4,1318739,47084,1365823
2025,3,1250348,37276,1287624
2025,2,989688,59388,1049076
2025,1,1169866,78645,1248511
2024,12,1117257,46965,1164222
2024,11,922700,43490,966190
2024,10,1405619,94189,1499808
2024,9,1330736,26661,1357397
2024,8,1388566,25153,1413719
2024,7,1362726,60903,1423629
2024,6,1056000,75823,1131823
2024,5,1015506,113102,1128608
2024,4,821837,61912,883749
2024,3,974401,95929,1070330
2024,2,793790,69466,863256
2024,1,854568,72592,927160
2023,12,712449,60512,772961
2023,11,937408,19273,956681
2023,10,829488,85100,914588
2023,9,931012,60652,991664
2023,8,1054730,24111,1078841
2023,7,1205760,28362,1234122
2023,6,921002,37681,958683
2023,5,858122,64873,922995
2023,4,629469,85493,714962
2023,3,714876,73984,788860
2023,2,703538,77585,781123
2023,1,593283,59464,652747
2022,12,648546,82301,730847
2022,11,498814,106261,605075
2022,10,873014,127839,1000853
2022,9,868999,82207,951206
2022,8,790901,42073,832974
2022,7,851005,43664,894669
2022,6,591770,50481,642251
2022,5,583863,66725,650588
2022,4,674581,62367,736948
2022,3,539185,71164,610349
2022,2,333715,102578,436293
2022,1,375219,57925,433144
2021,12,399236,70060,469296
2021,11,488688,53056,541744
2021,10,425260,120056,545316
2021,9,584288,37433,621721
2021,8,470936,29732,500668
2021,7,514343,58432,572775
2021,6,365298,72464,437762
2021,5,481269,53472,534741
2021,4,369107,98057,467164
2021,3,340210,81726,421936
2021,2,321173,71642,392815
2021,1,284322,73094,357416
