period_month,immigration_arrival_hk_residents,immigration_departure_hk_residents,immigration_arrival_mainland_visitors,immigration_departure_mainland_visitors,immigration_arrival_other_visitors,immigration_departure_other_visitors,immigration_arrival_total_passengers,immigration_departure_total_passengers,immigration_total_cross_border_passengers,immigration_net_arrivals_total_passengers
2021-01-01,48671,76232,2622,4410,702,1352,51995,81994,133989,-29999
2021-02-01,66646,35956,3593,1892,670,1043,70909,38891,109800,32018
2021-03-01,56683,44770,4437,3258,666,977,61786,49005,110791,12781
2021-04-01,49183,48454,3690,3217,748,1076,53621,52747,106368,874
2021-05-01,48728,56164,3590,3635,774,1243,53092,61042,114134,-7950
2021-06-01,50354,59493,4212,4302,582,971,55148,64766,119914,-9618
2021-07-01,61285,98021,5136,6822,698,854,67119,105697,172816,-38578
2021-08-01,127786,98052,7835,4306,1201,1021,136822,103379,240201,33443
2021-09-01,84597,89347,6362,4062,1439,1329,92398,94738,187136,-2340
2021-10-01,78526,83248,6095,4536,1661,1347,86282,89131,175413,-2849
2021-11-01,76542,79511,5672,4671,1915,1619,84129,85801,169930,-1672
2021-12-01,114086,131479,5908,5355,1890,1929,121884,138763,260647,-16879
2022-01-01,56574,71179,5505,5454,1062,1760,63141,78393,141534,-15252
2022-02-01,20649,85944,1425,7002,607,1089,22681,94035,116716,-71354
2022-03-01,15386,81720,877,3911,413,1132,16676,86763,103439,-70087
2022-04-01,66501,66356,2638,3334,743,973,69882,70663,140545,-781
2022-05-01,96122,80828,13910,8152,3893,1867,113925,90847,204772,23078
2022-06-01,96550,111861,35072,27551,5372,4045,136994,143457,280451,-6463
2022-07-01,124360,147206,39878,40705,7605,6329,171843,194240,366083,-22397
2022-08-01,207875,165709,47959,47494,10921,9224,266755,222427,489182,44328
2022-09-01,159082,162845,50991,53697,14408,12724,224481,229266,453747,-4785
2022-10-01,239648,246999,47227,45689,32060,26826,318935,319514,638449,-579
2022-11-01,349046,340878,57649,53591,54225,49114,460920,443583,904503,17337
2022-12-01,503879,615697,66306,67774,92330,76750,662515,760221,1422736,-97706
2023-01-01,1656886,1657615,279842,267854,218063,230267,2154791,2155736,4310527,-945
2023-02-01,3640388,3607872,1108033,1073872,353061,334622,5101482,5016366,10117848,85116
2023-03-01,5153292,5326436,1965896,1958818,487025,484281,7606213,7769535,15375748,-163322
2023-04-01,6295517,6357723,2302659,2184820,589777,574762,9187953,9117305,18305258,70648
2023-05-01,5893016,5743342,2286464,2401528,542109,557905,8721589,8702775,17424364,18814
2023-06-01,5835350,6032168,2155231,2132923,593466,579073,8584047,8744164,17328211,-160117
2023-07-01,6736711,6810793,2974524,2932064,614385,620077,10325620,10362934,20688554,-37314
2023-08-01,7453568,7161186,3432637,3499771,645347,650536,11531552,11311493,22843045,220059
2023-09-01,5874573,6310186,2161829,2052322,610153,590949,8646555,8953457,17600012,-306902
2023-10-01,7438178,6958947,2698593,2790188,760503,753083,10897274,10502218,21399492,395056
2023-11-01,7439887,7447391,2428003,2421333,861182,853132,10729072,10721856,21450928,7216
2023-12-01,8404291,8793094,2946590,2853234,983694,933553,12334575,12579881,24914456,-245306
2024-01-01,7918911,7468171,2983542,3023476,842354,908338,11744807,11399985,23144792,344822
2024-02-01,7491230,7531843,3244855,3301280,756638,724978,11492723,11558101,23050824,-65378
2024-03-01,8374047,9291362,2466042,2489151,936189,946946,11776278,12727459,24503737,-951181
2024-04-01,8764267,7919486,2481783,2417286,909894,922135,12155944,11258907,23414851,897037
2024-05-01,8211367,8276971,2625892,2661696,772910,769098,11610169,11707765,23317934,-97596
2024-06-01,8538286,9026817,2340164,2332765,792448,791152,11670898,12150734,23821632,-479836
2024-07-01,9040639,8752332,3139106,3092328,782836,790005,12962581,12634665,25597246,327916
2024-08-01,9516307,9377537,3658003,3695009,796166,793836,13970476,13866382,27836858,104094
2024-09-01,8520431,8426428,2293901,2262067,768287,771284,11582619,11459779,23042398,122840
2024-10-01,9224514,9115279,3136808,3160651,953577,921143,13314899,13197073,26511972,117826
2024-11-01,9008141,9210252,2556068,2537982,1012689,1002517,12576898,12750751,25327649,-173853
2024-12-01,10193907,10311903,3099197,3066127,1156613,1116372,14449717,14494402,28944119,-44685
2025-01-01,8925858,9666352,3725192,3676204,1017121,1065502,13668171,14408058,28076229,-739887
2025-02-01,8868457,7845699,2768572,2855795,899391,888771,12536420,11590265,24126685,946155
2025-03-01,9709657,9692083,2748615,2747336,1070191,1078257,13528463,13517676,27046139,10787
2025-04-01,10416947,10501429,2812291,2769186,1035902,1041793,14265140,14312408,28577548,-47268
2025-05-01,9482800,9740402,3122187,3127405,957078,944694,13562065,13812501,27374566,-250436
2025-06-01,9467714,9450820,2609851,2610201,871399,889316,12948964,12950337,25899301,-1373
2025-07-01,9655757,9648637,3509005,3470846,881825,880279,14046587,13999762,28046349,46825
2025-08-01,10659735,10308632,4221843,4263241,931401,938972,15812979,15510845,31323824,302134
2025-09-01,8779927,8841714,2456870,2424963,835728,831723,12072525,12098400,24170925,-25875
2025-10-01,10080534,10161870,3450842,3456652,1138214,1103074,14669590,14721596,29391186,-52006
2025-11-01,10362924,10270927,3039568,3034804,1150042,1153652,14552534,14459383,29011917,93151
2025-12-01,11005275,11418645,3352953,3300800,1292893,1233954,15651121,15953399,31604520,-302278
2026-01-01,10501622,10202323,3644124,3647166,1167840,1219552,15313586,15069041,30382627,244545
2026-02-01,9381025,9422651,4246814,4262633,895221,895261,14523060,14580545,29103605,-57485
2026-03-01,10195773,10208332,3111340,3124180,1140799,1148437,14447912,14480949,28928861,-33037
