period_month,public_transport_total_avg_daily_pax
2013-01-01,12366.676503000012
2013-02-01,12144.22790889286
2013-03-01,12201.51484277419
2013-04-01,12022.28124129999
2013-05-01,12125.508362741934
2013-06-01,12173.432019600004
2013-07-01,12415.549177354831
2013-08-01,12325.514649709674
2013-09-01,12459.465745599993
2013-10-01,12646.70039529032
2013-11-01,12799.420712366664
2013-12-01,12504.397453903217
2014-01-01,12639.150602354837
2014-02-01,12177.701749964284
2014-03-01,12458.813505129028
2014-04-01,12182.779412366668
2014-05-01,12239.150491193548
2014-06-01,12357.778336033327
2014-07-01,12583.825709677412
2014-08-01,12693.53912903226
2014-09-01,12729.712466666671
2014-10-01,12640.438193548383
2014-11-01,12835.531499999996
2014-12-01,12657.316387096775
2015-01-01,12617.467935419356
2015-02-01,12515.078350142858
2015-03-01,12616.131245290313
2015-04-01,12255.8982297
2015-05-01,12240.474812129023
2015-06-01,12568.694630333337
2015-07-01,12452.485487419359
2015-08-01,12590.881165967745
2015-09-01,12815.804341166668
2015-10-01,12724.10441193548
2015-11-01,12974.31399516666
2015-12-01,12833.957595225804
2016-01-01,12480.696713258054
2016-02-01,12252.173258655177
2016-03-01,12289.625241225804
2016-04-01,12498.42235953333
2016-05-01,12463.16559567742
2016-06-01,12525.25270973333
2016-07-01,12559.253014258064
2016-08-01,12480.716362483861
2016-09-01,12947.660293999988
2016-10-01,12532.841081516128
2016-11-01,13104.354924466661
2016-12-01,12964.76035541936
2017-01-01,12674.986518225805
2017-02-01,12686.801875607143
2017-03-01,12815.63157929032
2017-04-01,12327.630035333334
2017-05-01,12447.979256967743
2017-06-01,12536.114032666674
2017-07-01,12490.128096774197
2017-08-01,12258.57972029032
2017-09-01,13078.523233333335
2017-10-01,12772.68451696774
2017-11-01,13231.503076533334
2017-12-01,12981.607433096771
2018-01-01,12811.94650364516
2018-02-01,12527.092014500002
2018-03-01,12930.404504548396
2018-04-01,12639.17407043333
2018-05-01,12788.027629064516
2018-06-01,12688.10624736666
2018-07-01,12706.539568258064
2018-08-01,12799.569338161291
2018-09-01,12574.170907966663
2018-10-01,13256.948084645164
2018-11-01,13515.437837533327
2018-12-01,13146.602801451607
2019-01-01,13374.432479483874
2019-02-01,12749.53947628572
2019-03-01,13162.016805612902
2019-04-01,12668.452238466667
2019-05-01,13002.007730838706
2019-06-01,12862.921155166663
2019-07-01,12612.924319548392
2019-08-01,12077.853843645162
2019-09-01,12568.527366666669
2019-10-01,11467.570379354836
2019-11-01,10933.783109500004
2019-12-01,11801.640907032262
2020-01-01,11218.460864838707
2020-02-01,7312.000793103451
2020-03-01,7794.99400000001
2020-04-01,7279.167399999997
2020-05-01,8914.90048387096
2020-06-01,10323.545433333333
2020-07-01,8413.630838709681
2020-08-01,7307.4656451612955
2020-09-01,9361.136666666667
2020-10-01,10170.649161290325
2020-11-01,10522.4885
2020-12-01,8469.946193548383
2021-01-01,8456.797999999993
2021-02-01,9140.777107142854
2021-03-01,10129.055838709688
2021-04-01,10314.897866666668
2021-05-01,10600.277612903219
2021-06-01,10807.98483333333
2021-07-01,10858.97577419355
2021-08-01,10981.928419354848
2021-09-01,11546.551400000004
2021-10-01,10616.570806451615
2021-11-01,11650.081433333342
2021-12-01,11453.556322580649
2022-01-01,9615.291741935482
2022-02-01,6369.611714285718
2022-03-01,5845.539709677415
2022-04-01,8306.770966666658
2022-05-01,10156.745193548382
2022-06-01,10652.470033333324
2022-07-01,10349.266774193558
2022-08-01,10556.483419354834
2022-09-01,11052.823133333337
2022-10-01,11119.297354838713
2022-11-01,10991.786566666666
2022-12-01,10770.785677419351
2023-01-01,10597.860161290324
2023-02-01,11734.176142857148
2023-03-01,11831.445064516129
2023-04-01,11120.849933333335
2023-05-01,11379.323580645168
2023-06-01,11533.999166666663
2023-07-01,11363.472548387099
2023-08-01,11701.499000000002
2023-09-01,11056.977733333326
2023-10-01,11520.974709677415
2023-11-01,12200.214733333323
2023-12-01,11736.617387096769
2024-01-01,11945.010290322583
2024-02-01,11555.083758620693
2024-03-01,11574.716903225799
2024-04-01,11388.44686666666
2024-05-01,11513.600193548391
2024-06-01,11441.674899999998
2024-07-01,11561.541193548388
2024-08-01,11647.834999999988
2024-09-01,11691.311366666663
2024-10-01,12105.546516129021
2024-11-01,12048.91956666666
2024-12-01,11880.81319354839
2025-01-01,11789.274451612899
2025-02-01,11820.17835714287
2025-03-01,11908.399096774196
2025-04-01,11330.814466666667
2025-05-01,11668.399645161291
2025-06-01,11652.359233333333
2025-07-01,11394.744870967737
2025-08-01,11415.61261290323
2025-09-01,11339.054033333334
2025-10-01,12088.739935483865
2025-11-01,12208.96733333334
2025-12-01,11928.453387096768
2026-01-01,12050.890709677407
